date,actual,predicted
2016-09-12,854.9999999999999,792.562257528305
2016-09-13,703.0,793.6637120246887
2016-09-14,773.0,906.2038249969482
2016-09-15,674.0000000000001,725.9820771217346
2016-09-16,834.0,807.5008978843689
2016-09-17,789.0,875.7572293281555
2016-09-18,419.0,394.411665558815
2016-09-19,751.0,796.9312541484833
2016-09-20,758.0,792.2596142292023
2016-09-21,895.0,919.4497447013855
2016-09-22,623.0000000000001,741.8433759212494
2016-09-23,737.0,811.0366694927216
2016-09-24,793.0,835.9920666217804
2016-09-25,382.0,387.0580494403839
2016-09-26,750.0,791.1076011657715
2016-09-27,664.9999999999999,786.0765988826752
2016-09-28,932.0,899.8140435218811
2016-09-29,539.0,746.1237180233002
2016-09-30,740.0,782.6582307815552
2016-10-01,1004.0,817.257355928421
2016-10-02,415.99999999999994,429.9570997953415
2016-10-03,835.0,842.5415961742401
2016-10-04,806.0,824.5785055160522
2016-10-05,924.0,929.9017724990845
2016-10-06,691.0,747.6356599330902
2016-10-07,793.0,823.6196630001068
2016-10-08,880.0,885.8113031387329
2016-10-09,438.0,425.3827532529831
2016-10-10,729.0,824.6068296432495
2016-10-11,692.9999999999999,810.38995885849
2016-10-12,993.9999999999999,922.3596947193146
2016-10-13,692.9999999999999,763.0743627548218
2016-10-14,940.0,826.7345380783081
2016-10-15,787.0,942.4100611209869
2016-10-16,430.0,436.13763678073883
2016-10-17,792.0,813.8410413265228
2016-10-18,706.0,814.3921580314636
2016-10-19,958.0,912.4719543457031
2016-10-20,683.0,759.2117307186127
2016-10-21,771.0,826.0998651981354
2016-10-22,853.0,881.946192741394
2016-10-23,401.0,421.99302792549133
2016-10-24,755.0,817.123453617096
2016-10-25,803.0,809.8916666507721
2016-10-26,884.0,937.1460928916931
2016-10-27,756.0,749.0724012851715
2016-10-28,863.0,834.8351676464081
2016-10-29,770.0,932.5313136577606
2016-10-30,388.00000000000006,416.071479678154
2016-10-31,539.0,798.9528179168701
2016-11-01,799.0000000000001,785.176882982254
2016-11-02,306.99999999999994,944.7738511562347
2016-11-03,283.0,673.8076186180115
2016-11-04,542.0,621.9028058052063
2016-11-05,549.0,604.0341053009033
2016-11-06,335.0,258.8443558216095
2016-11-07,880.0,576.4681087732315
2016-11-08,809.0,639.0588712692261
2016-11-09,1161.0,722.3488705158234
2016-11-10,701.9999999999999,628.3859152793884
2016-11-11,803.9999999999999,656.327454328537
2016-11-12,857.0,796.3470690250397
2016-11-13,391.0,411.4656933546066
2016-11-14,831.0,752.2316036224365
2016-11-15,862.0,772.6667532920837
2016-11-16,936.0,887.7116396427155
2016-11-17,685.0,723.491961479187
2016-11-18,845.0,795.6973135471344
2016-11-19,881.0,912.006588935852
2016-11-20,389.0,461.91450440883636
2016-11-21,952.0000000000001,828.2159607410431
2016-11-22,707.0,843.1760566234589
2016-11-23,983.0,873.9526283740997
2016-11-24,653.0,750.7022423744202
2016-11-25,711.0000000000001,797.6408443450928
2016-11-26,809.0,850.601155757904
2016-11-27,350.0,418.3035979270935
2016-11-28,883.0,791.2493634223938
2016-11-29,740.0,814.067280292511
2016-11-30,884.0,883.2867028713226
2016-12-01,844.0,737.2465116977692
2016-12-02,915.0000000000001,808.2441937923431
2016-12-03,756.0,955.7030696868896
2016-12-04,435.0,464.30637073516846
2016-12-05,655.0,808.8386464118958
2016-12-06,313.0,817.3462936878204
2016-12-07,969.0,856.3833847045898
2016-12-08,740.0,805.9723863601685
2016-12-09,846.0,797.0550305843353
2016-12-10,758.0,952.913426399231
2016-12-11,359.0,465.7072112560272
2016-12-12,764.0,806.9169251918793
2016-12-13,780.9999999999999,829.7402944564819
2016-12-14,836.0,923.4932262897491
2016-12-15,835.0,754.9795396327972
2016-12-16,886.0,820.282301902771
2016-12-17,831.9999999999999,962.9112768173218
2016-12-18,531.0,497.72211384773254
2016-12-19,864.0000000000001,856.1051709651947
2016-12-20,924.0,875.3017773628235
2016-12-21,1062.0,904.3553216457367
2016-12-22,985.0,741.8843750953674
2016-12-23,1225.0,760.0456638336182
2016-12-24,934.0,919.7200276851654
2016-12-25,0.0,598.5494213104248
2016-12-26,257.0,785.1530199050903
2016-12-27,835.0,777.7546870708466
2016-12-28,712.0,985.0499811172485
2016-12-29,652.0,730.5081310272217
2016-12-30,882.0,785.415513753891
2016-12-31,631.0,912.1023244857788
2017-01-01,0.0,435.3994746208191
2017-01-02,376.0,771.7726314067841
2017-01-03,1045.0,707.2836213111877
2017-01-04,1029.0,957.0315420627594
2017-01-05,853.0,768.1262540817261
2017-01-06,927.0,797.5543849468231
2017-01-07,836.0,886.6585485935211
2017-01-08,447.0,482.7771359682083
2017-01-09,853.0,902.0557565689087
2017-01-10,923.0,841.900621175766
2017-01-11,958.0,1019.4300191402435
2017-01-12,674.0000000000001,808.6773405075073
2017-01-13,840.9999999999999,849.6964831352234
2017-01-14,903.0,923.7344770431519
2017-01-15,466.0,507.67153000831604
2017-01-16,782.0,956.2061769962311
2017-01-17,819.0,888.1569657325745
2017-01-18,926.0,1026.985904932022
2017-01-19,811.0,827.6669683456421
2017-01-20,688.0000000000001,875.7575125694275
2017-01-21,918.0,907.8699209690094
2017-01-22,349.0,485.8019403219223
2017-01-23,956.0,948.5858538150787
2017-01-24,744.0,878.476062297821
2017-01-25,930.0,1043.7505309581757
2017-01-26,719.0,826.0566709041595
2017-01-27,810.0,885.3618700504303
2017-01-28,881.0,940.3440284729004
2017-01-29,329.0,501.6236915588379
2017-01-30,840.9999999999999,921.0525362491608
2017-01-31,749.0,863.1701288223267
2017-02-01,937.0,1013.3679478168488
2017-02-02,768.0,813.300262928009
