epoch,train_loss,val_loss
1,0.01420514564961195,0.014143066480755806
2,0.00610396359115839,0.014922641217708588
3,0.005517867859452963,0.012727798894047737
4,0.0052158422768116,0.009427918121218681
5,0.00431967293843627,0.007982057519257069
6,0.003905060701072216,0.006399249192327261
7,0.003698472399264574,0.005664175841957331
8,0.0037491305265575647,0.004138361196964979
9,0.003565294435247779,0.003305137390270829
10,0.0034819371066987514,0.0025206725113093853
11,0.003399166278541088,0.001920398441143334
12,0.003138159168884158,0.0019069480476900935
13,0.003166538430377841,0.0016616402426734567
14,0.002942708320915699,0.001529374741949141
15,0.0027299264911562204,0.0019432975677773356
16,0.0026321914047002792,0.0014619651483371854
17,0.0027958438731729984,0.001524776453152299
18,0.0025253810454159975,0.0014649739023298025
19,0.002472529886290431,0.002464683260768652
20,0.0026056698989123106,0.00150172074791044
21,0.002385868690907955,0.0014542117714881897
22,0.0024088078644126654,0.005006215535104275
23,0.0026908759027719498,0.0014981409767642617
24,0.0023235143162310123,0.001509837806224823
25,0.0019701672717928886,0.001799598801881075
26,0.002483659191057086,0.0014867159770801663
27,0.0023484425619244576,0.0015635184245184064
28,0.0022268241737037897,0.0014754505828022957
29,0.0020418467465788126,0.0015429493505507708
30,0.0020821657963097095,0.0015068318461999297
31,0.002105736406520009,0.0018665057141333818
